id,question,answer,category,language
1,"Pourquoi je ne peux pas me connecter à mon compte ?","Vérifiez votre connexion Internet et assurez-vous que vos identifiants sont corrects.","Problème de connexion","fr"
2,"Que faire si j'ai oublié mon mot de passe ?","Contactez un administrateur ou créez un nouveau compte en utilisant un autre mail.","Problème de connexion","fr"
3,"Que faire si l'application ne reconnaît pas mes identifiants ?","Assurez-vous que vous utilisez la bonne version de l'application et que vos identifiants sont corrects.","Problème de connexion","fr"
4,"Pourquoi l'application se ferme-t-elle lors de la connexion ?","Essayez de redémarrer l'application ou de réinstaller la dernière version.","Problème de connexion","fr"
5,"Que faire si mon compte a été piraté ?","Changez immédiatement votre mot de passe et contactez le support.","Problème de connexion","fr"
6,"Que faire si l'application affiche 'Compte introuvable' ?","Assurez-vous que vous utilisez le bon email ou nom d'utilisateur. Si nécessaire, créez un nouveau compte.","Problème de connexion","fr"
7,"Pourquoi l'application me redirige vers une page blanche après la connexion ?","Cela peut être dû à un problème de cache. Essayez de vider le cache de l'application ou de la réinstaller.","Problème de connexion","fr"
8,"Comment vérifier si mon compte est actif ?","Contactez le support technique avec votre email ou nom d'utilisateur pour vérifier l'état de votre compte.","Problème de connexion","fr"
9,"Que faire si je ne reçois pas de réponse du support technique ?","Vérifiez que vous avez contacté le support via le bon canal et réessayez. Vous pouvez aussi consulter la FAQ.","Problème de connexion","fr"
10,"Comment résoudre un problème de connexion lente ?","Vérifiez votre connexion Internet et fermez les applications en arrière-plan pour libérer de la mémoire.","Problème de connexion","fr"
11,"Pourquoi l'application affiche-t-elle une erreur de serveur ?","Cela peut être dû à une maintenance ou à un problème temporaire. Réessayez plus tard.","Problème de connexion","fr"
12,"Que faire si je ne me souviens plus de mon nom d'utilisateur ?","Contactez l'un de nos administrateurs.","Problème de connexion","fr"
13,"Pourquoi l'application ne me permet-elle pas de créer un nouveau compte ?","Vérifiez que vous remplissez tous les champs requis et que vous utilisez une adresse email valide non associée à un autre compte.","Problème de connexion","fr"
14,"Comment savoir si mon compte a été suspendu ?","Contactez le support technique pour obtenir des informations sur l'état de votre compte.","Problème de connexion","fr"
15,"Que faire si je ne peux pas accéder à mon email de récupération ?","Contactez le support technique pour vérifier d'autres options de récupération de compte.","Problème de connexion","fr"
16,"Pourquoi l'application ne fonctionne-t-elle pas après une mise à jour du système ?","Assurez-vous que l'application est compatible avec votre version du système. Sinon, attendez une mise à jour de l'application.","Problème de connexion","fr"
17,"لماذا لا يمكنني تسجيل الدخول إلى حسابي؟","تحقق من اتصالك بالإنترنت وتأكد من صحة بيانات الاعتماد الخاصة بك.","مشكلة في الاتصال","ar"
18,"ماذا أفعل إذا نسيت كلمة المرور؟","اتصل بمسؤول أو أنشئ حسابًا جديدًا باستخدام بريد إلكتروني آخر.","مشكلة في الاتصال","ar"
19,"ماذا أفعل إذا لم يتعرف التطبيق على بياناتي؟","تأكد من أنك تستخدم النسخة الصحيحة من التطبيق وأن بيانات الاعتماد الخاصة بك صحيحة.","مشكلة في الاتصال","ar"
20,"لماذا يُغلق التطبيق عند محاولة تسجيل الدخول؟","حاول إعادة تشغيل التطبيق أو إعادة تثبيت أحدث نسخة.","مشكلة في الاتصال","ar"
21,"ماذا أفعل إذا تم اختراق حسابي؟","غير كلمة المرور على الفور واتصل بالدعم الفني.","مشكلة في الاتصال","ar"
22,"ماذا أفعل إذا ظهرت رسالة 'الحساب غير موجود'؟","تأكد من استخدام البريد الإلكتروني أو اسم المستخدم الصحيح. إذا لزم الأمر، أنشئ حسابًا جديدًا.","مشكلة في الاتصال","ar"
23,"لماذا يتم تحويلي إلى صفحة بيضاء بعد تسجيل الدخول؟","قد يكون السبب مشكلة في الذاكرة المؤقتة. حاول مسح ذاكرة التطبيق أو إعادة تثبيته.","مشكلة في الاتصال","ar"
24,"كيف أتحقق مما إذا كان حسابي نشطًا؟","اتصل بالدعم الفني وأرسل بريدك الإلكتروني أو اسم المستخدم للتحقق من حالة حسابك.","مشكلة في الاتصال","ar"
25,"ماذا أفعل إذا لم أتلقَ ردًا من الدعم الفني؟","تأكد من أنك تواصلت مع الدعم عبر القناة الصحيحة وحاول مرة أخرى. يمكنك أيضًا مراجعة الأسئلة الشائعة.","مشكلة في الاتصال","ar"
26,"كيف يمكن حل مشكلة الاتصال البطيء؟","تحقق من اتصالك بالإنترنت وأغلق التطبيقات التي تعمل في الخلفية لتحرير الذاكرة.","مشكلة في الاتصال","ar"
